code,date,score,reason,name,event_type,confidence,label,holding_days,vol,factor
688375,2026-04-10,0.8,净利超五亿分红五成,国博电子,分红,0.85,利多,,1.0,-0.48235901684607263
688667,2026-04-10,0.8,净利润稳健，分红比例达标,菱电电控,分红,0.85,利多,,1.0,-0.48235901684607263
300693,2026-04-10,0.6,净利润稳步增长，实施现金分红,盛弘股份,分红,0.8,利多,,1.0,-0.7114922482123004
000778,2026-04-10,0.5,每10股派0.75元分红稳定,新兴铸管,分红,0.8,利多,,1.0,-0.8260588638954142
002392,2026-04-10,0.5,净利润增长但分红比例偏低,北京利尔,分红,0.8,利多,,1.0,-0.8260588638954142
002730,2026-04-10,0.5,现金分红比例超50%,电光科技,分红,0.8,利多,,1.0,-0.8260588638954142
002831,2026-04-10,0.5,公司拟回购股份用于股权激励,裕同科技,回购,0.8,利多,,1.0,-0.8260588638954142
600499,2026-04-10,0.5,授予预留份额绑定核心团队,科达制造,股权激励,0.85,利多,,1.0,-0.8260588638954142
603230,2026-04-10,0.5,现金分红比例超30%达标,内蒙新华,分红,0.8,利多,,1.0,-0.8260588638954142
603890,2026-04-10,0.5,海外收购获审批顺利推进,春秋电子,重组,0.7,利多,,1.0,-0.8260588638954142
688268,2026-04-10,0.5,净利下滑但维持高分红,华特气体,分红,0.85,利多,,1.0,-0.8260588638954142
688278,2026-04-10,0.5,公司拟回购股份彰显发展信心,特宝生物,回购,0.8,利多,,1.0,-0.8260588638954142
688807,2026-04-10,0.5,现金分红比例超30%,优迅股份,分红,0.8,利多,,1.0,-0.8260588638954142
601999,2026-04-10,0.4,业绩稳健且分红比例达标,出版传媒,分红,0.8,利多,,1.0,-0.940625479578528
300342,2026-04-10,0.2,净利下滑但维持现金分红,天银机电,分红,0.7,利多,,1.0,-1.0551920952616418
300351,2026-04-10,0.3,每10股派0.41元现金,永贵电器,分红,0.8,利多,,1.0,-1.0551920952616418
300414,2026-04-10,0.3,现金分红比例刚达30%,中光防雷,分红,0.75,利多,,1.0,-1.0551920952616418
600959,2026-04-10,0.3,盈利稳定分红比例达标,江苏有线,分红,0.8,利多,,1.0,-1.0551920952616418
603301,2026-04-10,0.3,注销回购股份小幅增厚EPS,振德医疗,回购,0.8,利多,,1.0,-1.0551920952616418
688656,2026-04-10,0.1,归属条件达成，计划正常推进,浩欧博,股权激励,0.75,中性,,1.0,-1.0551920952616418
